num,code_type,code,country,subject_type,senzing_feature,senzing_type_value,disposition,notes,count,unique_count,top_5_values
1,Identifier,Aadhaar Number,India,Individual,NATIONAL_ID,AADHAAR,FEATURE,India biometric national ID; unique to individual,,,
2,Identifier,Accounting and Corporate Regulation Authority Register (ACRA),Singapore,Organization,NATIONAL_ID,ACRA,FEATURE,Singapore company registration,,,
3,Identifier,Aircraft Manufacturer's Serial Number (MSN),Global,Aircraft,OTHER_ID,AIRCRAFT_MSN,FEATURE,Vessel/aircraft identifier,,,
4,Identifier,Arrest Warrant Number,Global,Individual,,,PAYLOAD,Not a true entity identifier; legal document reference,1,1,WR-2024-FAKE-001 (1)
5,Identifier,Australian Business Number,Australia,Organization,TAX_ID,ABN,FEATURE,AU business tax number (11 digits),,,
6,Identifier,Australian Company Number (ACN),Australia,Organization,NATIONAL_ID,ACN,FEATURE,AU company registration number issued by ASIC,,,
7,Identifier,Bank Account Number,Global,Individual / Organization,ACCOUNT,,FEATURE,Bank account; map to ACCOUNT_NUMBER + ACCOUNT_DOMAIN,,,
8,Identifier,Bank Identification Code (BIK),Russia,Organization,OTHER_ID,BIK,FEATURE,RU bank routing code; identifies institution,,,
9,Identifier,Birth Certificate Number,Global,Individual,OTHER_ID,BIRTH_CERTIFICATE,FEATURE,Government-issued; unique per person in country,,,
10,Identifier,BIS Certification Licence Number,India,Organization,,,PAYLOAD,IN regulatory license for standards compliance,,,
11,Identifier,Business Registration Number,Global,Organization,,,PAYLOAD,Generic company registration number; include country,,,
12,Identifier,Call Sign,Global,Vessel / Aircraft,OTHER_ID,CALL_SIGN,FEATURE,Vessel/aircraft communication identifier,,,
13,Identifier,Cartilla del Servicio Militar Nacional (CSMN),Mexico,Individual,,,PAYLOAD,MX military service card; unique to individual,,,
14,Identifier,Cedula Number,Latin America,Individual,NATIONAL_ID,CEDULA,FEATURE,LATAM national ID card; per crosswalk,,,
15,Identifier,Central Registry Number System (MERSIS),Turkey,Organization,,,PAYLOAD,TR central company registration,,,
16,Identifier,Certificado de Identificación Fiscal (CIF),Spain,Organization / Individual,TAX_ID,CIF,FEATURE,ES tax identification code,,,
17,Identifier,Certificate of Incorporation Number,Global,Organization,,,PAYLOAD,Company incorporation certificate number,,,
18,Identifier,Certificate of Registration Number (CRN),Global,Organization / Vessel / Aircraft / Individual,,,PAYLOAD,Generic registration number; include country,,,
